Trailing P/E Ratio,Forward P/E Ratio,Price to Book Ratio,Dividend Yield,Earnings Per Share Trailing,Earnings Per Share Forward,Return on Equity,Debt to Equity Ratio,Free Cash Flow,Revenue Growth,Beta (Volatility),Operating Margin,Gross Margin,Net Profit Margin,Price to Sales Ratio,Current Ratio,Quick Ratio,Interest Coverage Ratio,Dividend Payout Ratio,Return on Assets,Return on Investment,Enterprise Value,Enterprise Value to EBITDA,Price to Free Cash Flow,PEG Ratio,Book Value Per Share,Symbol,Error
37.536186,27.493536,60.58402,0.0044,Not Available,8.31,1.5741299,209.059,110846001152,0.061,1.24,0.31171,0.46206,0.23971,8.822043,0.867,0.745,Not Available,Not Available,0.21464,Not Available,3456762118144,25.67,Not Available,Not Available,3.767,AAPL,
35.22195,28.298223,11.032745,0.0078,Not Available,14.95,0.35604,33.657,61280874496,0.16,0.904,0.46583998,0.69348997,0.35608003,12.486235,1.301,1.163,Not Available,Not Available,0.14592,Not Available,3179720212480,23.286,Not Available,Not Available,38.693,MSFT,
68.57943,35.295135,61.97635,0.00029999999,Not Available,4.12,1.23767,17.221,33725874176,1.224,1.657,0.62057,0.75975996,0.55041003,37.380695,4.269,3.503,Not Available,Not Available,0.55258,Not Available,3563218010112,58.238,Not Available,Not Available,2.368,NVDA,
23.255629,19.583218,6.8551126,0.0045,Not Available,8.96,0.32101002,9.324,41104498688,0.151,1.034,0.32312,0.58127,0.27738002,6.349746,1.95,1.761,Not Available,Not Available,0.16483,Not Available,2125729103872,17.217,Not Available,Not Available,25.613,GOOGL,
45.091682,34.41178,8.57757,Not Available,Not Available,6.15,0.22558,61.175,54328250368,0.11,1.146,0.109589994,0.48406,0.080419995,3.5858924,1.089,0.827,Not Available,Not Available,0.07069,Not Available,2321747804160,20.807,Not Available,Not Available,24.655,AMZN,
27.263107,22.794006,8.854049,0.0034,Not Available,25.3,0.36134,29.811,39083376640,0.189,1.215,0.42765,0.81501,0.35549998,9.326395,2.732,2.568,Not Available,Not Available,0.17188999,Not Available,1442350366720,18.209,Not Available,Not Available,65.186,META,
,,,,,,,,,,,,,,,,,,,,,,,,,,BRK/A,"Failed to parse json response from Yahoo Finance: {'code': 'Not Found', 'description': 'HTTP 404 Not Found'}"
,,,,,,,,,,,,,,,,,,,,,,,,,,BRK/B,"Failed to parse json response from Yahoo Finance: {'code': 'Not Found', 'description': 'HTTP 404 Not Found'}"
84.99783,34.744507,49.68278,0.0064,Not Available,22.66,0.65318,218.081,-1306887552,0.204,0.43,0.39773998,0.80906,0.20482999,18.265305,1.273,0.63,Not Available,Not Available,0.13946,Not Available,757866496000,45.747,Not Available,Not Available,15.825,LLY,
33.902878,21.246187,1.2249168,0.013200001,Not Available,8.08,0.28027,24.081,606226546688,0.39,1.232,0.47487998,0.54453,0.39123002,0.36870518,2.567,2.238,Not Available,Not Available,0.12409,Not Available,3672532582400,2.043,Not Available,Not Available,153.888,TSM,
138.52032,27.499495,2.8770201,0.012200001,Not Available,6.17,0.12509,166.032,25984124928,0.164,1.187,0.31765,0.74713,0.108830005,16.99826,1.038,0.841,Not Available,Not Available,0.077010006,Not Available,100720377856,4.387,Not Available,Not Available,59.221,AVGO,
84.790184,95.36681,14.270384,Not Available,Not Available,3.24,0.20389,18.078,676625024,0.078,2.295,0.107889995,0.18229,0.13075,10.2821045,1.844,1.214,Not Available,Not Available,0.04759,Not Available,1040004087808,78.526,Not Available,Not Available,21.806,TSLA,
